zipcode,dbh_mean,curb_ratio,sidewalk_ratio,species_1,species_2,species_3,tree_count,Good,Fair,Poor,issuing_agency_1,issuing_agency_2,issuing_agency_3,penalty_imposed,charge_1,charge_2,charge_3,crime_count,cluster
11417,14.11839445567427,28.100840336134453,1.6294608959757024,7.0,4.0,11.0,3463,2990,388,85,4.0,18.0,25.0,825.6926406926407,103.0,111.0,71.0,2464,0
11418,13.03239875389408,320.0,1.5970873786407767,3.0,5.0,9.0,3210,2737,362,111,16.0,6.0,25.0,725.0812630601347,68.0,111.0,106.0,4592,0
11419,15.709333333333333,37.04347826086956,1.8688524590163935,3.0,5.0,14.0,2625,1994,483,148,16.0,22.0,15.0,646.2775256345604,68.0,118.0,107.0,6267,0
11420,15.415192307692308,41.97520661157025,2.110047846889952,3.0,10.0,11.0,5200,4356,666,178,16.0,22.0,8.0,586.2662483191394,68.0,110.0,110.0,4751,0
11421,15.87324981577008,338.25,1.5725118483412321,3.0,13.0,5.0,2714,2327,328,59,16.0,6.0,25.0,788.5485913263691,99.0,113.0,106.0,3372,0
11422,12.776077657124054,54.76146788990825,3.459280997798973,4.0,10.0,4.0,6078,5117,748,213,4.0,18.0,15.0,895.731780167264,98.0,117.0,71.0,1781,1
11423,13.558262400939244,20.427672955974842,2.8892694063926943,3.0,13.0,5.0,3407,2986,330,91,16.0,22.0,8.0,1026.7618270799348,98.0,113.0,71.0,1955,0
11426,14.618654560462238,56.69047619047619,2.0477987421383648,4.0,4.0,12.0,4846,3829,817,200,19.0,6.0,24.0,663.9096826688365,68.0,76.0,72.0,1297,0
11427,14.185176243360695,22.401129943502823,2.3511326860841426,9.0,4.0,5.0,4142,3056,906,180,19.0,18.0,8.0,791.9991401547721,68.0,75.0,73.0,1267,0
11428,13.867304015296368,200.15384615384616,3.144215530903328,9.0,5.0,2.0,2615,1907,550,158,4.0,18.0,25.0,1171.3116250760804,68.0,113.0,73.0,1749,0
11429,13.980227023068473,30.03409090909091,2.3757725587144622,3.0,7.0,12.0,2731,2289,301,141,16.0,12.0,25.0,1083.7612748045701,104.0,111.0,113.0,1884,0
11430,5.054054054054054,8.25,1.0,7.0,6.0,4.0,37,37,0,0,4.0,13.0,17.0,904.4862604540024,3.0,31.0,42.0,838,2
11432,12.701889644746787,54.125,3.4515477792732168,3.0,13.0,5.0,6615,5579,831,205,4.0,18.0,25.0,623.7095897853844,68.0,111.0,109.0,7952,1
11433,12.593085860017002,12.418250950570343,2.626927029804728,9.0,4.0,12.0,3529,2962,429,138,10.0,18.0,22.0,937.970647265429,99.0,117.0,114.0,4261,0
11434,12.516149623388229,16.802272727272726,3.6904191616766466,7.0,13.0,9.0,7833,6797,816,220,4.0,18.0,15.0,1170.1007484168106,105.0,113.0,106.0,3768,1
11435,13.103289625028756,68.0,1.8523622047244095,3.0,10.0,14.0,4347,3633,557,157,4.0,18.0,25.0,757.9169262720665,68.0,111.0,113.0,5208,0
11436,14.97054945054945,18.612068965517242,2.6053882725832014,3.0,13.0,5.0,2275,2014,224,37,16.0,12.0,22.0,1066.3455657492354,105.0,114.0,107.0,1420,0
11451,9.88888888888889,1.0,2.0,1.0,1.0,6.0,9,7,1,1,4.0,6.0,8.0,1000.0,3.0,31.0,42.0,10,2
11691,8.813315926892951,27.221052631578946,4.432624113475177,7.0,4.0,9.0,5362,3761,1258,343,10.0,18.0,22.0,547.3213340391742,105.0,111.0,109.0,4053,1
11692,4.962962962962963,12.027972027972028,5.9,1.0,7.0,8.0,1863,1122,523,218,17.0,12.0,8.0,552.756906077348,105.0,114.0,109.0,946,0
11693,7.897334649555775,6.9140625,12.876712328767123,3.0,10.0,2.0,1013,518,288,207,4.0,19.0,15.0,599.8221982758621,105.0,111.0,109.0,988,0
11694,8.053841309823678,17.358381502890172,6.234624145785877,7.0,2.0,9.0,3176,1958,833,385,4.0,18.0,6.0,842.0960698689956,101.0,114.0,3.0,1002,2
11697,4.666666666666667,1.0,1.0,7.0,8.0,7.0,24,0,8,16,2.0,6.0,4.0,2404.5945945945946,109.0,31.0,15.0,38,2
